	ZipCode	Latitude	Longitude	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SiteEnergyUse(kBtu)	TotalGHGEmissions	Distribution Center	Hotel	Office	Other	Refrigerated Warehouse	Retail Store	Self-Storage Facility	Senior Care Community	Supermarket / Grocery Store	Warehouse	Worship Facility	Public services	Library	Banks	Education	Manufacturing/Industrial Plant	Food Service	Mall	General Medical	Data Center	Entertainment
0	98101.0	47.6122	-122.33798999999999	1927.0	1.0	12.0	88434.0	60.0	7226362.5	249.98	0.0	88434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	98101.0	47.613170000000004	-122.33393000000001	1996.0	1.0	11.0	103566.0	61.0	8387933.0	295.86	0.0	83880.0	0.0	15064.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4622.0	0.0	0.0	0.0	0.0
2	98101.0	47.613929999999996	-122.3381	1969.0	1.0	41.0	956110.0	43.0	72587024.0	2089.28	0.0	756493.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	98101.0	47.61412	-122.33663999999999	1926.0	1.0	10.0	61320.0	56.0	6794584.0	286.43	0.0	61320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	98121.0	47.61375	-122.34047	1980.0	1.0	18.0	175580.0	75.0	14172606.0	505.01	0.0	123445.0	0.0	68009.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	98101.0	47.61623	-122.33657	1999.0	1.0	2.0	97288.0		12086616.0	301.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	98101.0	47.6139	-122.33283	1926.0	1.0	11.0	83008.0	27.0	5758795.0	176.14	0.0	81352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	98101.0	47.61327	-122.33136	1926.0	1.0	8.0	102761.0		6298131.5	221.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102761.0
8	98104.0	47.602940000000004	-122.33263000000001	1904.0	1.0	15.0	163984.0	43.0	13723820.0	392.16	0.0	163984.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	98101.0	47.60695	-122.33413999999999	1969.0	1.0	11.0	153163.0	30.0	16016644.0	691.26	0.0	133884.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	98101.0	47.60713	-122.33323	1998.0	1.0	25.0	333176.0	36.0	26941110.0	740.97	0.0	336640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	98104.0	47.60699	-122.33346	1928.0	1.0	9.0	65009.0	48.0	6596057.5	328.23	0.0	65009.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	98101.0	47.608090000000004	-122.33211999999999	1980.0	1.0	33.0	315952.0	58.0	22325364.0	648.62	0.0	295511.0	0.0	57600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	98101.0	47.60755	-122.33243999999999	1922.0	1.0	11.0	92190.0	35.0	10750010.0	511.39	0.0	67390.0	0.0	25200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	98154.0	47.60649	-122.33296999999999	2004.0	1.0	11.0	412000.0		18588860.0	181.38	0.0	0.0	0.0	49000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364913.0	0.0	0.0	0.0	0.0	0.0	0.0	1074.0	0.0
